week_start,region_bucket,new_orders,new_revenue,new_cogs,new_gross_revenue,promo_days,max_promo_amount,any_gwp,adspend_Meta,adspend_GoogleSearch,adspend_TikTokShop,adspend_Bing,adspend_AppLovin,adspend_Pinterest,adspend_Rokt,adspend_TikTokSocial,adspend_Television,adspend_YouTube,orders_Meta,orders_GoogleSearch,orders_TikTokShop,orders_Bing,orders_AppLovin,orders_Pinterest,orders_Rokt,orders_TikTokSocial,orders_Television,orders_YouTube,orders_CRMEmail,orders_CRMSMS,orders_Organic,orders_Direct,rev_Meta,rev_GoogleSearch,rev_TikTokShop,rev_Bing,rev_AppLovin,rev_Pinterest,rev_Rokt,rev_TikTokSocial,rev_Television,rev_YouTube,rev_CRMEmail,rev_CRMSMS,rev_Organic,rev_Direct
2024-08-05,International,1752,79555,12746,68627,7,70% + 10%,0,40814,4652,0,256,0,0,0,0,0,0,426,378,0,37,2,0,0,0,0,0,357,7,154,148,17105,16923,0,2243,153,0,0,0,0,0,16220,546,7402,7148
2024-08-12,International,2782,142774,24112,126264,7,50%/45%/40%,0,71715,5787,0,348,0,0,0,0,0,0,1044,552,0,39,0,1,0,0,0,0,558,3,170,207,53196,29522,0,2153,0,86,0,0,0,0,27122,183,9078,11301
2024-08-19,International,3768,201611,34521,177668,7,50% + 10%,0,105696,6977,0,322,0,0,0,0,0,0,1431,746,0,55,0,0,0,0,0,0,716,4,250,290,76562,39083,0,3089,-57,0,0,0,0,0,36795,187,14524,16391
2024-08-26,International,6554,384289,69282,343360,7,55% + 10%,0,183057,8233,0,426,0,0,0,0,0,0,2656,1181,0,60,2,0,0,0,0,0,1120,5,425,579,159790,67953,0,3300,137,0,0,0,0,0,61236,367,25594,34788
2024-09-02,International,6842,405885,73840,363981,7,55% + 10%,0,234504,9128,0,716,0,0,0,0,0,0,2514,1285,0,97,1,0,0,0,0,0,1247,6,433,672,151885,74216,0,5512,140,0,0,0,0,0,71260,346,26043,40770
2024-09-09,International,4939,283098,49973,257083,7,40%-60% + 10%,0,185120,7219,0,507,0,0,0,0,0,0,1679,987,0,72,1,0,0,0,0,0,939,5,307,512,100513,55291,0,4656,129,0,0,0,0,0,51832,275,17424,29186
2024-09-16,International,4157,223384,37989,203165,7,60% + 10%,0,151632,6124,0,412,0,0,0,0,0,0,1359,713,0,54,1,0,0,0,0,0,1016,1,243,384,71842,38385,0,2551,46,0,0,0,0,0,55808,78,13780,21100
2024-09-23,International,3897,210143,37086,190280,7,50% + 10%,0,115048,5610,0,353,0,0,0,0,0,0,963,803,0,53,0,1,0,0,0,0,1036,3,257,371,50339,42346,0,2676,0,-49,0,0,0,0,56158,120,14817,20761
2024-09-30,International,4302,226981,38172,205199,7,60% + 10%,0,125580,5753,0,400,0,0,0,0,0,0,1502,861,0,55,0,1,0,0,0,0,847,1,276,374,78441,44125,0,2983,0,72,0,0,0,0,45048,87,15485,20605
2024-10-07,International,3778,193197,32853,176493,7,60% + 10%,0,107875,5155,0,437,0,0,0,0,0,0,1507,653,0,40,2,0,0,0,0,0,812,4,202,292,76768,32580,0,2318,258,0,0,0,0,0,40567,266,11678,15013
2024-10-14,International,4526,232015,40327,207932,7,40%-60% + 10%,0,103962,6211,0,446,0,0,0,0,0,0,1848,643,0,45,0,0,0,0,0,0,928,4,226,359,92875,32577,0,2707,0,0,0,0,0,0,48074,195,11849,19043
2024-10-21,International,3958,210327,36435,188537,7,65% + 10%,0,107517,5916,0,372,0,0,0,0,0,0,1466,604,0,50,0,0,0,0,0,0,807,5,217,330,77800,31864,0,2438,0,0,0,0,0,0,41754,315,11934,17681
2024-10-28,International,5228,271427,47196,243801,7,65% + 10%,0,129448,8003,0,536,0,0,0,0,0,0,2059,897,0,66,3,0,0,0,0,0,960,2,273,416,106053,44690,0,3921,244,0,0,0,0,0,51388,176,14723,22113
2024-11-04,International,6418,339031,58134,309826,7,40%-60% + 10%,0,193630,11006,0,522,0,0,0,0,0,0,2921,996,0,60,3,0,0,0,0,0,1071,3,282,469,148372,52497,0,3490,252,0,0,0,0,0,57887,239,16321,26414
2024-11-11,International,14542,720928,128790,636513,7,70% + 10%,0,390432,16106,0,906,0,0,0,0,0,0,6617,2232,0,139,5,0,0,0,0,0,2773,46,604,992,312706,110879,0,7237,300,0,0,0,0,0,143859,2557,32342,53028
2024-11-18,International,13559,675517,119949,589106,7,70% + 10%,0,397174,17321,0,1414,0,0,0,0,0,0,5820,2435,0,185,9,1,0,0,0,0,2180,21,696,1099,275809,123943,0,9968,637,67,0,0,0,0,113877,1212,36951,57603
2024-11-25,International,30879,1393883,263743,1205615,7,75% + 10%,0,706914,27106,0,1657,0,0,0,0,0,0,13743,5409,0,321,10,0,0,0,0,0,4832,50,1301,2625,583553,251346,0,16098,661,0,0,0,0,0,232752,2902,64272,126488
2024-12-02,International,29281,1307159,242669,1135469,7,75% + 10%,0,656716,27086,0,1819,0,0,0,0,0,0,12478,5146,0,338,5,0,0,0,0,0,4826,65,1310,2546,531917,234048,0,15694,199,0,0,0,0,0,224540,3923,63191,121938
2024-12-09,International,14693,717200,128194,643739,7,50%/45%/40%,0,364067,20073,0,1330,0,0,0,0,0,0,6071,2506,0,188,0,0,0,0,0,0,2409,21,769,1457,290635,121379,0,9831,0,0,0,0,0,0,118662,1219,38197,74467
2024-12-16,International,12581,582702,107017,523563,7,70% + 10%,0,324738,17409,0,1102,0,0,0,0,0,0,5521,2118,0,128,1,0,0,0,0,0,1966,19,646,1043,249010,97333,0,6348,68,0,0,0,0,0,93521,773,31812,50345
2024-12-23,International,12581,579708,108026,526225,7,75% + 10%,0,279646,16729,0,820,0,0,0,0,0,0,5597,2077,0,98,1,1,0,0,0,0,2377,27,635,884,251668,95935,0,4110,47,38,0,0,0,0,110475,1627,31397,43808
2024-12-30,International,16937,750214,134080,679062,7,75% + 10%,0,388584,18249,0,1181,0,0,0,0,0,0,7927,2877,0,170,0,0,0,0,0,0,2924,30,873,1098,334052,130496,0,8342,7,0,0,0,0,0,134232,1883,40506,52733
2025-01-06,International,10786,501639,91747,463799,7,60% + 10%,1,254482,16998,0,972,0,0,0,0,0,0,4366,2038,0,154,2,1,0,0,0,0,1945,17,608,778,201750,93848,0,7420,168,35,0,0,0,0,89714,1141,29459,37225
2025-01-13,International,11513,524874,99333,482792,7,60% + 10%,1,276524,18832,0,1012,0,0,0,0,0,0,5088,2227,0,160,1,0,0,0,0,0,1818,19,540,664,228490,100461,0,7682,50,0,0,0,0,0,84443,1052,25306,31532
2025-01-20,International,12003,556276,102512,511859,7,67% + 10%,1,277041,14895,0,1148,0,0,0,0,0,0,5582,1895,0,154,0,1,0,0,0,0,2037,37,576,698,249334,87714,0,7217,0,50,0,0,0,0,97655,2138,27897,34604
2025-01-27,International,11319,487178,86129,449434,7,67% + 10%,1,270434,10315,0,974,0,1635,0,0,0,0,5426,1829,0,164,1,59,0,0,0,0,1696,75,584,683,223564,79426,0,8112,71,2534,0,0,0,0,76060,3715,27131,31256
2025-02-03,International,7310,312725,54748,286225,7,50% + 10%,1,186695,9407,0,868,0,8380,0,5529,0,0,2957,1190,0,108,0,194,0,80,0,0,1269,92,442,481,118384,52616,0,5333,0,7621,0,2741,0,0,57647,4494,19734,21863
2025-02-10,International,8569,371783,67386,339316,7,65% + 15%,1,179699,8165,0,800,0,15859,0,12679,0,0,3731,1098,0,101,2,276,0,157,0,0,1502,139,503,552,154313,47908,0,4593,108,10558,0,7301,0,0,66809,7178,22887,26348
2025-02-17,International,12349,536840,94512,486466,7,65% + 15%,1,272524,11165,0,1022,0,20901,0,19127,0,0,5976,1630,0,144,1,302,0,142,0,0,1635,173,807,844,243828,73363,0,6601,41,12258,0,6903,0,0,75064,8854,37769,40174
2025-02-24,International,13025,592190,101075,537964,7,60% + 15%,1,294157,9681,0,986,0,13968,0,12404,0,0,5946,1673,0,137,2,184,0,108,0,0,2372,199,730,897,256702,78095,0,6773,101,8114,0,5344,0,0,112146,10322,35673,43034
2025-03-03,International,15336,735208,133607,675243,7,60% + 15%,1,412763,9948,0,907,0,9367,0,8500,0,0,8122,2081,0,156,2,131,0,58,0,0,1899,207,840,1046,380469,101969,0,7894,101,6265,0,3033,0,0,90654,11628,41671,52227
2025-03-10,International,11642,574352,104188,532353,7,45%,0,322139,5679,0,925,0,7038,0,6763,0,0,5316,1879,0,139,1,81,0,42,0,0,2078,120,727,894,254492,97123,0,7139,71,4102,0,2525,0,0,99784,6544,37677,46768
2025-03-17,International,11209,603021,118600,567939,7,60% + 10%,1,306642,4327,0,787,0,6997,0,6419,0,0,5114,1895,0,108,1,100,0,59,0,0,1960,139,770,808,276355,102391,0,5537,95,5784,0,3420,0,0,100655,7613,43785,44696
